Sr No,date,startup,vertical,city,investors,round,amount
597,2017-12-09,Tonbo Imaging,Technology,Bangalore,"WRV Capital, Qualcomm Ventures, Edelweiss Private Equity, Artiman Ventures",Private Equity,17000000
598,2017-12-09,Get My Parking,Consumer Internet,New Delhi,"IAN Fund, Beenext, Indian Angel Network",Private Equity,3000000
599,2017-09-13,WittyFeed,Technology,Indore,"Anand Chandrasekaran, Apurva Chamaria, Ritesh Malik, Ashish Toshniwal, Ajeet Khurana",Seed Funding,0
600,2017-09-13,Glowroad,Consumer Internet,Bangalore,"Accel Partners,",Private Equity,2000000
601,2017-09-13,OYO Rooms,Consumer Internet,Gurgaon,China Lodging Group,Private Equity,10000000
602,2017-09-13,Unacademy,Consumer Internet,Mumbai,"Sequoia Capital India, SAIF Partners, Nexus Venture Partners and Blume Ventures,",Private Equity,11500000
603,2017-09-13,Heterogenous,Technology,Chennai,"Chennai Angels, Keiretsu Forum & Others",Seed Funding,780000
604,2017-09-14,Gurukul,Consumer Internet,New Delhi,"Rohit Nanda, Rajit Nanda, Smarak Bhuyan, Sashwat Brahma,",Seed Funding,0
605,2017-09-14,Smaaash,Technology,Mumbai,ECL Finance,Private Equity,44000000
606,2017-09-14,WheelStreet,Consumer Portal,Bangalore,Y Combinator,Seed Funding,120000
607,2017-09-14,Xprep,Consumer Internet,New Delhi,"Rising Stars, Manish Amin, Pallav Pandey, Chavi Jafa",Private Equity,0
608,2017-09-18,The Moms Co,eCommerce,Gurgaon,"DSG Consumer Partners, Saama Capital",Private Equity,1000000
609,2017-09-19,Noticeboard,Technology,Bangalore,"Shamik Sharma, Aprameya Radhakrishna",Seed Funding,0
610,2017-09-19,High Radius,Technology,Hyderabad,Susquehanna Growth Equity LLC,Private Equity,50000000
611,2017-09-20,HWell24 Plus,Healthcare,Mumbai,Undisclosed Investors,Seed Funding,0
612,2017-09-21,SaveBC,Finance,Gaya,Incofin Investment Management.,Private Equity,6000000
613,2017-09-21,Gaming Monk,Consumer Internet,New Delhi,AdvantEdge,Private Equity,0
614,2017-09-21,91SpringBoard,Consumer Internet,New Delhi,"Sandway Investment Ltd, Pearl Brook Holdings, Silo Holdings and Al Nour",Private Equity,0
615,2017-09-21,Homergize,eCommerce,Bangalore,LG Chandrasekhar,Private Equity,1000000
616,2017-09-22,Yatra.com,eCommerce,Gurgaon,InnoVen Capital India,Debt Funding,15400000
617,2017-09-22,Ace Turtle,Technology,Bangalore,InnoVen Capital,Private Equity,0
618,2017-09-25,Vogo,Consumer Internet,Bangalore,AV Thomas Group,Seed Funding,0
619,2017-09-25,Synup,Technology,Bangalore,"Vertex Ventures, Prime Venture Partners.",Private Equity,6000000
620,2017-09-25,Tinmen,Consumer Internet,Hyderabad,Zomato Media Pvt. Ltd,Private Equity,0
621,2017-09-25,Cropin,Technology,Bangalore,Beenext,Private Equity,0
622,2017-09-25,Rapido,Consumer Internet,Bangalore,Battery Road Digital Holdings LLC,Seed Funding,422000
623,2017-09-25,Sportobuddy,Consumer Internet,Mumbai,Mehul Shah,Seed Funding,150000
624,2017-09-26,Credifiable,Consumer Internet,Bangalore,Kae Capital,Private Equity,0
625,2017-09-26,Inclov,Consumer Internet,Gurgaon,"Rajan Anandan, Jamil Khatri, Ravi Iyer, Raghav Bahl",Seed Funding,0
626,2017-09-26,Multibhashi,Consumer Internet,Bangalore,"Aniruddha Malpani, Startup Oasis",Seed Funding,0
627,2017-09-27,Transerve,Technology,Mumbai,"IL&FS Investment Managers, Omidyar Network.",Private Equity,1600000
628,2017-09-27,Fashalot,Consumer Internet,Gurgaon,"Capillary Technologies, Whiteboard Capital, YourNest Angel Fund, Rajul Garg",Private Equity,0
629,2017-09-27,Pitstop,Consumer Internet,Bangalore,"Blume Ventures, Goldbell Group, Anurag Srivastava, Shailesh Rao, Amiya Pathak, Rajesh Yohanan and Rahul Garg",Private Equity,1000000
630,2017-09-27,GoChoppers,Consumer Internet,Gurgaon,"Rivergate Capital,",Seed Funding,0
631,2017-09-27,MyUpchar,Consumer Internet,New Delhi,LetsVenture,Seed Funding,300000
632,2017-09-28,Aadyah,Technology,Bangalore,Keiretsu Forum,Private Equity,1000000
633,2017-01-08,TouchKin,Technology,Bangalore,Kae Capital,Private Equity,1300000
634,2017-02-08,Ethinos,Technology,Mumbai,Triton Investment Advisors,Private Equity,0
635,2017-02-08,Leverage Edu,Consumer Internet,New Delhi,"Kashyap Deorah, Anand Sankeshwar, Deepak Jain, Sadashiva NT, Arjun Mehta, Satish Kaul, Anindya Ghose",Seed Funding,0
636,2017-02-08,Zepo,Consumer Internet,Mumbai,"Kunal Shah, LetsVenture, Anupam Mittal, Hetal Sonpal",Seed Funding,500000
637,2017-02-08,Click2Clinic,Consumer Internet,Hyderabad,"Narottam Thudi, Shireesh Palle",Seed Funding,850000
638,2017-03-08,SpeedBox,Logistics,Mumbai,Cismat Cargo Services Pvt. Ltd.,Seed Funding,300000
639,2017-03-08,Skill Connect,Consumer Internet,Jaipur,Rajasthan Angel Investor Network,Seed Funding,0
640,2017-03-08,Chai Point,Consumer Internet,Bangalore,"DSG Consumer Partners, Eight Roads Ventures India",Private Equity,0
641,2017-03-08,Zoctr,Consumer Internet,Mumbai,SIDBI,Private Equity,0
642,2017-04-08,Lime Tray,Technology,New Delhi,JSW Ventures,Private Equity,0
643,2017-04-08,CoutLoot,eCommerce,Mumbai,"Anuj Puri, Redcliffe Capital, Artha India Ventures, Siddharth Kothari, Apoorv Ranjan Sharma,",Seed Funding,0
644,2017-04-08,Box My Space,Logistics,Mumbai,"R. Jayakumar, Vaibhav Vohra, Aditya Vazirani, Rhea Vazirani, AVN Business Solutions, Dreamweaver Investments",Seed Funding,0
645,2017-05-08,Curatio,Healthcare,Chennai,Anicut Capital,Private Equity,0
646,2017-08-08,New Castle Technologies,Technology,Chennai,Undisclosed investors,Seed Funding,243000
647,2017-08-08,My Forex Eye,Consumer Internet,New Delhi,"Rahul Dev Kumar, Rajesh Mahajan, Ankit Sharma and others",Seed Funding,220000
648,2017-09-08,TruxApp,Logistics,New Delhi,"Venugopal Dhoot, Ajay Bhatia, Tarun Khandelwal, Ganpat Singhvi, Mandhian family & Others",Seed Funding,3100000
649,2017-09-08,CroFarm,Technology,Gurgaon,Factor[e] Ventures,Seed Funding,783000
650,2017-09-08,DoodhWala,Consumer Internet,Bangalore,Tom Varkey,Seed Funding,0
651,2017-10-08,Stayabode,Consumer Internet,Bangalore,"Incubate Fund, Sanjay Shenoy, Mridul Upreti,",Private Equity,0
652,2017-11-08,Flipkart,eCommerce,Bangalore,Softbank,Private Equity,2500000000
653,2017-11-08,Moong Labs,Technology,New Delhi,Nazara Games,Private Equity,0
654,2017-11-08,Ola Cabs,Consumer Internet,Gurgaon,Tekne Capital Management,Private Equity,36000000
655,2017-08-14,Sports Flashes,Consumer Internet,New Delhi,"Bennett, Coleman and Company Ltd (BCCL),",Private Equity,0
656,2017-08-14,Digilend,Technology,Mumbai,"InCred Finance, Fullerton India Credit Company Ltd",Seed Funding,312000
657,2017-08-15,KNAB Finance,Consumer Internet,Bangalore,"InCred, Krishnakumar Natarajan, Ravi Bhardwaj",Seed Funding,385000
658,2017-08-17,Get Simpl,Consumer Internet,Mumbai,"Green Visor Capital LP II, IA Venture Strategies Fund II LP, Boillot Family Trust, Russell M Byrne, The Oliver R. Grace, Jr. Millennium Trust, SF Capital Investments LP",Seed Funding,0
659,2017-08-20,Rootefy,eCommerce,New Delhi,"Abhinav Gupta,",Seed Funding,187000
660,2017-08-21,Uniphore,Technology,Chennai,IDG Ventures,Private Equity,6800000
661,2017-08-21,Cerebroz,Consumer Internet,Vadodara,Undisclosed HNI\\xe2\\x80\\x99s,Seed Funding,734000
662,2017-08-22,Flochat,Consumer Internet,Mumbai,"iSquare Global,",Seed Funding,0
663,2017-08-22,EasyGov,Consumer Internet,Noida,"Social Alpha, Rajan Anandan, Rajeev Ahuja, Kshitij Arora",Seed Funding,0
664,2017-08-23,Milk Basket,Consumer Internet,Gurgaon,Blume Ventures. Lenovo Capital and Incubator Group (LCIG),Seed Funding,0
665,2017-08-23,Dhruva,Technology,Pune,"Riverwood Capital, Sequoia Capital India, Nexus Venture Partners, Tenaya Capital",Private Equity,80000000
666,2017-08-23,Bombay Shaving Company,eCommerce,New Delhi,Fireside Ventures,Private Equity,2300000
667,2017-08-23,Awign,Technology,Bangalore,"IIT Ropar, Imanpreet Singh Arora, Sidharth Rozario, Saurabh Abichandani, Shikhar Gupta,",Seed Funding,0
668,2017-08-23,Indiez,Technology,Bangalore,Haresh Chawla,Seed Funding,500000
669,2017-08-24,Ezetap,Technology,Bangalore,"JS Capital Management, Social Capital, Horizons Ventures,",Private Equity,16000000
670,2017-08-25,Ink Monk,Consumer Internet,Chennai,"VAMM Ventures, Raksul, Dena",Seed Funding,750000
671,2017-08-25,Medinfi,Consumer Internet,Bangalore,"PBS Srinivas, Vinod Martin,",Seed Funding,125000
672,2017-08-28,Mobikon,Technology,Pune,"Sistema Asia Fund, C31 Ventures, Qualgro.",Private Equity,7000000
673,2017-08-29,CureFit,Consumer Internet,Bangalore,"Accel Partners, IDG Ventures, Kalaari Capital,\\xc2\\xa0 UC-RNT fund",Private Equity,25000000
674,2017-08-29,Doxper,Technology,Mumbai,"idal Health, growx ventures, Capier Investments, Globevestor & others",Seed Funding,750000
675,2017-08-29,Fieldassist,Technology,Gurgaon,Small Industries Development Bank of India (SIDBI),Debt Funding,0
676,2017-08-30,Treebo,Consumer Internet,Bangalore,"Ward Ferry Management and Karst Peak Capital,",Private Equity,34000000
677,2017-08-30,MedGenome,Technology,Bangalore,"Sequoia India, Sofina s.a., Zodius Capital, Kris Gopalakrishnan, Lakshmi Narayanan,",Private Equity,30000000
678,2017-01-07,Billion Loans,Consumer Internet,Bangalore,Reliance Corporate Advisory Services Ltd,Seed Funding,1000000
679,2017-03-07,Ecolibriumenergy,Technology,Ahmedabad,"Infuse Ventures, JLL",Private Equity,2600000
680,2017-04-07,Droom,eCommerce,Gurgaon,"Asset Management (Asia) Ltd, Digital Garage Inc",Private Equity,20000000
681,2017-05-07,Jumbotail,eCommerce,Bangalore,"Kalaari Capital, Nexus India Capital Advisors",Private Equity,8500000
682,2017-05-07,Moglix,eCommerce,Noida,"International Finance Corporation, Rocketship, Accel Partners, Jungle Ventures, Shailesh Rao, Venture Highway",Private Equity,12000000
683,2017-05-07,Timesaverz,Consumer Internet,Mumbai,BCCL,Private Equity,1000000
684,2017-06-07,Minjar,Technology,Bangalore,"Blume Ventures, Contrarian Capital India Partners, Emergent Ventures India, Pallav Nadhani, Ashish Gupta, Sharad Sharma, Sirion Labs",Seed Funding,0
686,2017-07-07,Clip App,Consumer Internet,Bangalore,"India Quotient, Shunwei Capital",Seed Funding,1000000
687,2017-07-07,Upwardly.in,Consumer Internet,Bangalore,"Sreeram Iyer, Suvo Sarkar, Anita Gupta, Likemind Ventures",Seed Funding,0
688,2017-10-07,Autorox.co,Technology,Hyderabad,Mitsui & Co.,Private Equity,3000000
689,2017-11-07,Fabogo,Consumer Internet,Pune,Dunamis Ventures Pte Ltd,Private Equity,2250000
690,2017-11-07,Flickstree,Consumer Internet,Mumbai,"Venture Catalysts, Sourav Ganguly, Ankit Aditya, Moksh Sports Ventures",Seed Funding,464000
691,2017-11-07,Design Cafe,Consumer Internet,Bangalore,"Fireside Ventures, Apurva Salarpuria, Sidharth Pansari, Sprout Capital",Seed Funding,0
692,2017-12-07,Innoviti,Technology,Bangalore,"SBI-FMO Fund, Bessemer Venture Partners, Catamaran Ventures",Private Equity,18500000
693,2017-12-07,VDeliver,Logistics,Hyderabad,"Corvus Ventures, MAPE Advisory Group",Private Equity,0
694,2017-12-07,Bottr.me,Technology,Bangalore,"500 Startups, Purvi Capital, Rajan Anandan, Abhishek Gupta",Seed Funding,0
695,2017-12-07,Arcatron,Technology,Pune,Indian Angel Network,Seed Funding,0
696,2017-07-14,QwikSpec,Technology,Bangalore,"Brigade Innovations LLP, TV Mohandas Pai, Suhail Rahman, Bobby Reddy, M George Oommen",Seed Funding,540000
697,2017-07-14,Chumbak,eCommerce,Bangalore,Blacksoil Capital Pvt. Ltd,Private Equity,1700000
698,2017-07-17,Increff,Technology,Bangalore,"Sequoia Capital, Grey Orange, Rajesh Ramaiah, Anshuman Das, Rishi Das",Seed Funding,2000000
699,2017-07-17,Vayana,Technology,Pune,"IDG Ventures India Advisors, Jungle Ventures",Private Equity,4000000
700,2017-07-18,MObiquest,Technology,Noida,One97 Communication Ltd,Private Equity,0
701,2017-07-18,Ambee,Consumer Internet,Hyderabad,"Uber Technologies Inc, Amaya Capital LLP",Seed Funding,0
702,2017-07-18,Ideal Insurance,Consumer Internet,Kolkata,Xelpmoc,Seed Funding,0
703,2017-07-18,Hypernova Interactive,Technology,Bangalore,Kae Capital,Seed Funding,0
704,2017-07-19,Rentomojo,Consumer Internet,Bangalore,"ain Capital Ventures, Renaud Laplanche",Private Equity,10000000
705,2017-07-19,AirCTO,Consumer Internet,Bangalore,Francesco Cara,Seed Funding,0
706,2017-07-19,Playablo,Technology,Bangalore,ABI-Showatech (India) Ltd,Seed Funding,600000
707,2017-07-20,Trupay,Technology,Gurgaon,"Kae Capital, M&S Partners,",Seed Funding,700000
708,2017-07-21,Brick2Wall,eCommerce,Gurgaon,"Subramani Somasundaram, Sundeep Sahni, Mayank Mittal & Others",Seed Funding,200000
709,2017-07-21,FableStreet,eCommerce,New Delhi,"Harmeet Bajaj, Pameela P, Fusiontech Ventures & Others",Seed Funding,0
710,2017-07-21,Monsoon Fintech,Technology,New Delhi,"Sunil Kalra, Aditya Singh, Rishi Srivastava, Rajan Anandan",Seed Funding,0
711,2017-07-21,MonkeyBox,Consumer Internet,Bangalore,"Blume Ventures, NB Ventures, Nspira",Seed Funding,0
712,2017-07-25,Noticeboard,Consumer Internet,Bangalore,"Stellaris Venture Partners,",Private Equity,1200000
713,2017-07-25,Byju\\xe2\\x80\\x99s,Consumer Internet,Bangalore,Tencent Holdings,Private Equity,35000000
714,2017-07-26,Creator\\xe2\\x80\\x99s Gurukul,Others,New Delhi,Yuvraj Singh,Seed Funding,0
715,2017-07-26,Fab Hotels,Consumer Internet,New Delhi,Goldman Sachs,Private Equity,25000000
716,2017-07-26,ThinkerBell,Consumer Internet,Bangalore,"Indian Angel Network, Anand Mahindra",Seed Funding,200000
717,2017-07-27,1mg,eCommerce,Gurgaon,"HBM Healthcare Investments, Maverick Capital Ventures, Sequoia India, Omidyar Network and Kae Capital",Private Equity,15000000
718,2017-07-28,Jhakaas,Consumer Internet,Mumbai,Amen Dhyllon,Seed Funding,0
719,2017-07-28,BigStylist,Consumer Internet,Mumbai,Info Edge (India) Ltd,Private Equity,1250000
720,2017-07-28,Gympik.com,Consumer Internet,Bangalore,RoundGlass Partners,Seed Funding,0
721,2017-01-06,Tripeur,Technology,Bangalore,"Grace Grace Techno Ventures LLP, Rajul Garg & Other undisclosed investors",Seed Funding,0
722,2017-02-06,RentOnGo,eCommerce,Bangalore,TVS Motor Company,Seed Funding,234000
723,2017-05-06,Goomo,Consumer Internet,Mumbai,Emerging India,Private Equity,50000000
724,2017-05-06,MaxMyWealth,Consumer Internet,Mumbai,"lockchain ecosystem Global Advisors, Horseferry",Private Equity,0
725,2017-06-06,Spinny,eCommerce,Gurgaon,"Blume Ventures, Indian Angel Network, Kunal Shah, Sandeep Tandon",Private Equity,1000000
726,2017-06-06,Healthbuds,Consumer Internet,Kolkata,"Arun Patodia, Bharat Kedia",Seed Funding,0
727,2017-06-06,Ftcash,Consumer Internet,Mumbai,"500 Startups, IvyCap Ventures",Private Equity,0
728,2017-06-06,BHIVE Workspace,Consumer Internet,Bangalore,Blume Ventures,Private Equity,1200000
729,2017-06-06,wayForward,Consumer Internet,New Delhi,"Harsh Mahajan, Farhan Naqvi, Sreepathy Viswanathan",Seed Funding,1000000
730,2017-06-06,GyanDhan,Consumer Internet,New Delhi,Sundaram Finance Holdings,Private Equity,0
731,2017-06-06,Hungry Foal,Consumer Internet,Gurgaon,SBI (Stand Up India Scheme),Private Equity,0
732,2017-07-06,ZipLoan,Consumer Internet,New Delhi,WaterBridge Ventures,Seed Funding,650000
733,2017-07-06,GrowFitter,Consumer Internet,Mumbai,SQue Capital,Seed Funding,600000
734,2017-08-06,Stratfit,Consumer Internet,Hyderabad,Bodhtree Consulting Limited,Seed Funding,232000
735,2017-08-06,Multiplier Solutions,Technology,Hyderabad,Norwest Venture Partners,Private Equity,1500000
736,2017-08-06,ABI Health,Technology,Bangalore,Norwest Venture Partners,Private Equity,1500000
737,2017-08-06,Stockal,Consumer Internet,Bangalore,"Mohan Alexander, R. Natarajan, Vikrant Varshney, Amit Sinha",Seed Funding,350000
738,2017-09-06,Guidoo,Consumer Internet,Mumbai,"Pawan Borle, Nirmal Singh, Manish Prasad, Vineet Varma, Nick Haulkoury, Abhai S. Rao",Seed Funding,300000
739,2017-09-06,eSahai.in,Consumer Internet,Hyderabad,"Dr Ramesh Ayyala, Satya Muthyala",Seed Funding,250000
740,2017-12-06,Loanmeet,Consumer Internet,Bangalore,"Cao Yibin, Huang Wei, Madhusudan E,",Seed Funding,0
741,2017-12-06,LendingKart,Consumer Internet,Ahmedabad,Yes Bank,Debt Funding,7800000
742,2017-12-06,Boxx.ai,Technology,Bangalore,"Unicorn India Ventures, Venky Krishnakumar, Suresh Shankar, Vivek Bhargava",Private Equity,500000
743,2017-12-06,PeeSafe.in,Healthcare,New Delhi,"Venture Catalysts, Alfa Capital, Green Shots Capital, Real Time Ventures",Private Equity,1000000
744,2017-12-06,Vista Rooms,Consumer Internet,Mumbai,"Artha India Ventures, Singularity Holdings, Rajan Anandan, Girish Mathrubootham",Seed Funding,776000
745,2017-12-06,CoverFox,Consumer Internet,Mumbai,Transamerica,Private Equity,15000000
746,2017-06-13,HyperTrack,Technology,New Delhi,"Nexus Venture Partners, Founders Fund",Private Equity,0
747,2017-06-13,Goodera,Technology,Bangalore,"Nexus Venture Partners, Omidyar Network",Private Equity,5500000
748,2017-06-13,Digit,Technology,Bangalore,Fairfax Holdings,Private Equity,0
749,2017-06-14,Ola,Consumer Internet,Bangalore,Tekne Capital Management LLC,Private Equity,50000000
750,2017-06-14,Vanitycask,Consumer Internet,Mumbai,RB Investments,Seed Funding,0
751,2017-06-14,MrNeeds,Consumer Internet,Noida,undisclosed investors,Seed Funding,500000
752,2017-06-15,MoneyTap,Consumer Internet,Bangalore,"Sequoia India, NEA, Prime Venture Partners",Private Equity,12300000
753,2017-06-16,Goodbox,eCommerce,Bangalore,"Nexus Venture Partners, Mekin Maheshwari",Private Equity,1000000
754,2017-06-16,Fincash,Consumer Internet,Mumbai,"Mohammed Khan, Sameer Narayan & Others",Seed Funding,100000
755,2017-06-16,PortDesk,Technology,Noida,Alphard Maritime Group,Seed Funding,2000000
756,2017-06-16,EdgeFx,eCommerce,Hyderabad,"Cross Border Angels & Experts, Rajasthan Angel Innovators Network, The Chennai Angels",Seed Funding,0
757,2017-06-16,EazyDiner,Consumer Internet,Gurgaon,YouWeCan Ventures,Seed Funding,0
758,2017-06-16,HealthIntel,Healthcare,New Delhi,BLIP Initiatives,Seed Funding,0
759,2017-06-19,Unbxd,Technology,Bangalore,Eight Roads Ventures,Private Equity,12500000
760,2017-06-19,DarwinBox,Technology,Hyderabad,"Lightspeed India Partners, Endiya Partners, 3one4 Capital Advisors LLP, Startupxseed Ventures LLP",Private Equity,4000000
761,2017-06-20,ForeverShop,Consumer Internet,Bangalore,91maker.com,Seed Funding,300000
762,2017-06-20,Insider.in,Consumer Internet,Mumbai,Paytm,Private Equity,5200000
763,2017-06-21,Fynd,eCommerce,Mumbai,"IIFL Seed Ventures, Kae Capital, FJ Labs, Singularity Ventures, GrowX, Tracxn Labs, Axis Capital",Private Equity,2400000
764,2017-06-21,Grow Fit,Consumer Internet,Bangalore,"Manipal Education and Medical Group (MEMG), SAR Group, The Grover Trust",Private Equity,4500000
765,2017-06-21,Fabulyst,Technology,Hyderabad,iBhubs,Seed Funding,215000
766,2017-06-21,mSwipe,Technology,Mumbai,"UC-RNT Fund, Matrix Partners, alcon Edge Capital, DSG Consumer Partners",Private Equity,31000000
767,2017-06-21,OneAssist,Consumer Internet,Mumbai,Sequoia Capital,Private Equity,0
768,2017-06-22,Julia Computing,Technology,Bangalore,"General Catalyst, Founder Collective",Private Equity,4600000
769,2017-06-22,Kissht,Consumer Internet,Mumbai,"Endiya Partners, Ventureast",Private Equity,2000000
770,2017-06-22,Explore Life traveling,Consumer Internet,Bangalore,"Mekin Maheshwari, Bharat Vijay, Krish Seshadri, Amar Arsikere",Seed Funding,500000
771,2017-06-23,Loantap,Consumer Internet,Mumbai,"Kae Capital, India Quotient, IFMR, and MAS Financial Services Ltd",Private Equity,4000000
772,2017-06-23,Voxweb,Consumer Internet,Mumbai,Undisclosed investors,Seed Funding,1000000
773,2017-06-26,HUG Innovations,Technology,Hyderabad,"Mohit Srivastav, Kishore Ganji, Venkat Vallabhaneni, Rajeev Menon",Private Equity,5000000
774,2017-06-26,Flipkart,eCommerce,Bangalore,Naspers,Private Equity,71000000
775,2017-06-26,V Resorts,Consumer Internet,Noida,"Seedfund, RB International",Private Equity,4000000
